cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.651,2.682,1.317,0.463,0.606,0.539,0.394,0.032,0.047,0.07,0.029,0.024,1
0.081,2.654,0.821,0.194,0.846,0.352,0.154,0.007,0.012,0.021,0.005,0.003,1
0.002,2.05,0.883,0.159,0.889,0.38,0.111,0.011,0.016,0.03,0.006,0.005,1
0.143,2.941,0.796,0.202,0.874,0.356,0.127,0.007,0.012,0.022,0.005,0.003,1
0.04,2.861,0.884,0.127,0.912,0.373,0.088,0.009,0.019,0.033,0.007,0.005,1
0.043,2.774,1.022,0.203,0.857,0.328,0.143,0.008,0.013,0.02,0.005,0.003,1
0.164,1.928,0.813,0.092,0.324,0.149,0.077,0.003,0.007,0.012,0.002,0.002,1
0.477,2.818,1.052,0.36,0.737,0.479,0.263,0.02,0.032,0.048,0.016,0.012,1
0.002,2.675,0.817,0.135,0.916,0.268,0.084,0.007,0.01,0.018,0.005,0.004,1
0.988,2.838,1.165,0.533,0.541,0.669,0.459,0.037,0.066,0.083,0.025,0.021,1
0.401,2.793,1.518,0.482,0.647,0.559,0.353,0.015,0.037,0.055,0.009,0.009,1
0.22,2.413,0.891,0.223,0.839,0.418,0.161,0.01,0.017,0.031,0.007,0.005,1
0.192,2.72,0.827,0.211,0.877,0.371,0.123,0.007,0.015,0.026,0.005,0.004,1
0.441,2.835,1.045,0.348,0.742,0.471,0.258,0.019,0.031,0.046,0.015,0.011,1
0.557,2.785,1.156,0.416,0.66,0.532,0.343,0.036,0.055,0.07,0.03,0.021,1
0.951,2.578,1.168,0.571,0.505,0.695,0.495,0.052,0.08,0.113,0.045,0.035,1
-0.108,2.463,0.925,0.158,0.886,0.257,0.114,0.007,0.008,0.015,0.006,0.003,1
-0.064,2.402,1.176,0.208,0.839,0.344,0.161,0.008,0.017,0.023,0.005,0.005,1
0.016,2.53,0.822,0.172,0.897,0.282,0.103,0,0,0,0,0,1
1.002,2.608,1.331,0.599,0.487,0.668,0.516,0.038,0.072,0.105,0.036,0.033,1
0.333,2.826,1.024,0.286,0.793,0.42,0.207,0.012,0.027,0.037,0.009,0.009,1
0.143,2.941,0.836,0.202,0.879,0.407,0.121,0.01,0.018,0.03,0.006,0.004,1
0.022,0.202,0.478,0,1,0,0,0,0,0,0,0,1
0.192,2.685,0.76,0.254,0.91,0.381,0.09,0.013,0.021,0.032,0.009,0.005,1
0.093,2.542,0.852,0.234,0.843,0.325,0.157,0.006,0.01,0.019,0.004,0.003,1
-0.03,2.458,1.073,0.217,0.86,0.31,0.14,0.007,0.012,0.022,0.007,0.006,1
0.175,2.805,0.946,0.265,0.859,0.405,0.141,0.011,0.017,0.03,0.008,0.006,1
1.604,2.73,1.076,0.795,0.275,0.871,0.725,0.083,0.123,0.175,0.079,0.07,1
0.141,2.672,0.957,0.239,0.847,0.337,0.153,0.004,0.014,0.018,0.003,0.003,1
-0.049,2.337,0.921,0.159,0.894,0.291,0.106,0.002,0.006,0.011,0.002,0.001,1
0.079,2.865,0.979,0.226,0.851,0.336,0.149,0.01,0.016,0.026,0.008,0.006,1
0.181,2.882,0.882,0.196,0.862,0.333,0.139,0.009,0.015,0.023,0.007,0.006,1
0.107,2.814,0.658,0.025,0.159,0.053,0.012,0.001,0.002,0.004,0.001,0,1
0.711,2.104,1.121,0.543,0.558,0.644,0.442,0.021,0.058,0.077,0.018,0.016,1
0.27,2.326,0.938,0.246,0.795,0.414,0.205,0.012,0.025,0.039,0.009,0.008,1
0.22,2.53,1.327,0.313,0.725,0.385,0.275,0.024,0.037,0.05,0.023,0.02,1
0.952,2.882,1.225,0.515,0.545,0.625,0.455,0.027,0.064,0.087,0.027,0.023,1
0.977,2.544,1.414,0.598,0.457,0.637,0.543,0.052,0.082,0.106,0.05,0.039,1
0.584,2.78,1.269,0.446,0.655,0.552,0.345,0.025,0.046,0.069,0.02,0.019,1
-0.163,2.547,1.163,0.188,0.866,0.275,0.134,0.008,0.013,0.022,0.008,0.007,1
0.107,2.725,0.75,0.1,0.489,0.185,0.062,0.003,0.005,0.009,0.001,0.001,1
-0.005,2.488,0.76,0.072,0.952,0.359,0.048,0.012,0.018,0.031,0.006,0.004,1
0.4,2.688,1.329,0.426,0.658,0.506,0.342,0.017,0.03,0.038,0.008,0.008,1
0.437,2.26,0.881,0.359,0.725,0.537,0.275,0.022,0.041,0.054,0.016,0.011,1
-0.038,2.469,0.788,0.038,0.199,0.063,0.025,0.001,0.001,0.003,0,0,1
